sub_grade,accuracy
A1,0.9618921415090551
A2,0.951027381008874
A3,0.941890612782419
A4,0.9278889388489209
A5,0.9140497308605924
B1,0.8976988958827778
B2,0.8847050282744918
B3,0.8703610326744655
B4,0.8517181182017577
B5,0.8370436830594964
C1,0.8149034671559002
C2,0.7956779776197164
C3,0.7784162408842125
C4,0.7564371851177274
C5,0.742179688615912
D1,0.7301812380910179
D2,0.7129021184778345
D3,0.7015104018238815
D4,0.6850907734394429
D5,0.6692719800381624
E1,0.6581463599356243
E2,0.6502854177477945
E3,0.6343753714489481
E4,0.6245509809339597
E5,0.6127487103905674
F1,0.6205457825890843
F2,0.6074074074074074
F3,0.6092061125605666
F4,0.6050574712643678
F5,0.5862164406310545
G1,0.5935531678399407
G2,0.5839267548321465
G3,0.6024016010673783
G4,0.5909849749582637
G5,0.5764925373134329
