,accuracy,precision,recall,f1
count,200.0,200.0,200.0,200.0
mean,0.7946140479601118,0.5784553780999215,0.09012851093593909,0.1559570231239637
std,0.00038801406090519403,0.0024017060747320153,0.0005721148663621668,0.0009145551334769217
min,0.7935117230509761,0.5702530401325582,0.08855449355875855,0.1534293087571574
2.5%,0.7938968143202767,0.5738461436124564,0.0890532679590307,0.15426954719226246
50%,0.7946127729149098,0.5784217953252091,0.09012229130354746,0.15595212707392828
97.5%,0.795400746246672,0.5832573642818255,0.09140658717706797,0.15808826128016482
max,0.7957368380351968,0.5845530726256983,0.09175139856923191,0.15846438447890382
